sigla,nome,descricao,acao
SSP21,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP22,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP23,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP24,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP25,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP26,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP27,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP28,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP29,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP30,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP31,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP32,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP33,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP34,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP35,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP36,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP37,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP38,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP39,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP40,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP41,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP42,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP43,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP44,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP45,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP46,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP47,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP48,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP49,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP50,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP51,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP52,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP53,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP54,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
SSP55,Subsecretaria Parlamentar/Gabinete do Vereador,"Vereador pede vistas ao texto do Projeto de Lei para ter tempo de avaliar melhor a proposta. Assim, o parlamentar pode apresentar parecer favorável ou contrario, soliciar alterações, propor textos substitutivos ou mesmo sinalizar que o PL deva ir arquivamento.",
